party2,afd,cdu,fdp,gruene,linke,spd
afd,0.0,0.19104413702005899,0.17479032037769418,0.23092758556362725,0.26329036606502637,0.22854476786279135
cdu,0.19104413702005899,0.0,0.10831273257765765,0.13670988059235098,0.21741140001898981,0.14521215946311325
fdp,0.17479032037769418,0.10831273257765765,0.0,0.12024902204932843,0.17731919381509684,0.12718153989842151
gruene,0.23092758556362725,0.13670988059235098,0.12024902204932843,0.0,0.1236411927351331,0.09327549346776125
linke,0.26329036606502637,0.21741140001898981,0.17731919381509684,0.1236411927351331,0.0,0.10462298850384573
spd,0.22854476786279135,0.14521215946311325,0.12718153989842151,0.09327549346776125,0.10462298850384573,0.0
